Date,Close/Last,Volume,,,
12/22/2022,$164.70 ,7188736,,,
12/21/2022,$168.73 ,3632145,,,
12/20/2022,$166.09 ,3777633,,,
12/19/2022,$167.61 ,4507115,,,
12/16/2022,$169.55 ,10423640,,,
12/15/2022,$170.01 ,6008556,,,
12/14/2022,$175.82 ,5114590,,,
12/13/2022,$177.50 ,6951017,,,
12/12/2022,$177.48 ,5347045,,,
12/9/2022,$174.26 ,3966812,,,
12/8/2022,$176.36 ,3902683,,,
12/7/2022,$173.75 ,3242832,,,
12/6/2022,$174.34 ,4418072,,,
12/5/2022,$177.39 ,4875539,,,
12/2/2022,$177.66 ,3822916,,,
12/1/2022,$177.50 ,5479894,,,
11/30/2022,$180.46 ,9780330,,,
11/29/2022,$172.98 ,3133977,,,
11/28/2022,$173.00 ,5358814,,,
11/25/2022,$177.07 ,1586355,,,
11/23/2022,$178.98 ,3939063,,,
11/22/2022,$177.22 ,4673774,,,
11/21/2022,$172.40 ,4703084,,,
11/18/2022,$175.18 ,5474821,,,
11/17/2022,$175.36 ,5339895,,,
11/16/2022,$173.46 ,7664877,,,
11/15/2022,$177.57 ,6601049,,,
11/14/2022,$177.44 ,5447319,,,
11/11/2022,$179.49 ,6911978,,,
11/10/2022,$174.69 ,9898204,,,
11/9/2022,$164.99 ,4800375,,,
11/8/2022,$168.11 ,5112301,,,
11/7/2022,$165.69 ,4928538,,,
11/4/2022,$162.65 ,6690149,,,
11/3/2022,$156.52 ,4555398,,,
11/2/2022,$158.49 ,6924532,,,
11/1/2022,$162.90 ,4972344,,,
10/31/2022,$160.63 ,6298902,,,
10/28/2022,$161.36 ,6776114,,,
10/27/2022,$156.76 ,7050506,,,
10/26/2022,$157.87 ,12967120,,,
10/25/2022,$162.16 ,8611180,,,
10/24/2022,$161.65 ,5467592,,,
10/21/2022,$159.72 ,7706393,,,
10/20/2022,$153.72 ,6506398,,,
10/19/2022,$152.65 ,5060124,,,
10/18/2022,$151.51 ,4866554,,,
10/17/2022,$150.99 ,5936071,,,
10/14/2022,$148.34 ,7470795,,,
10/13/2022,$154.34 ,7913955,,,
10/12/2022,$151.55 ,4526084,,,
10/11/2022,$153.45 ,9526922,,,
10/10/2022,$156.79 ,6573631,,,
10/7/2022,$159.28 ,8306437,,,
10/6/2022,$166.54 ,4170977,,,
10/5/2022,$167.80 ,5262603,,,
10/4/2022,$165.15 ,7233204,,,
10/3/2022,$159.84 ,6668516,,,
9/30/2022,$154.78 ,6074755,,,
9/29/2022,$158.45 ,6698955,,,
9/28/2022,$162.80 ,4881502,,,
9/27/2022,$160.71 ,4261522,,,
9/26/2022,$160.46 ,4605809,,,
9/23/2022,$161.29 ,6936094,,,
9/22/2022,$162.62 ,5696227,,,
